date,value
1988-01-01,16466.4831089808
1988-02-01,19704.3786206498
1988-03-01,19420.9456933571
1988-04-01,21148.6778538229
1988-05-01,19129.8079913577
1988-06-01,21077.4705927213
1988-07-01,18940.7150060496
1988-08-01,22646.438667342
1988-09-01,20723.7436620894
1988-10-01,22482.934148663902
1988-11-01,27485.2416726434
1988-12-01,19450.3370896857
1989-01-01,19852.0929918123
1989-02-01,20109.9238316751
1989-03-01,18775.3926457815
1989-04-01,19020.219074906698
1989-05-01,20713.5986865632
1989-06-01,18036.071351694398
1989-07-01,19990.0272360539
1989-08-01,18271.938023956598
1989-09-01,19103.097544456497
1989-10-01,19545.879603295
1989-11-01,20392.6798391835
1989-12-01,23086.295507556402
1990-01-01,20920.483394215702
1990-02-01,19301.8416634251
1990-03-01,16533.6051926898
1990-04-01,14412.059897016201
1990-05-01,14303.4798650673
1990-06-01,13872.820535931101
1990-07-01,12526.1149276232
1990-08-01,12108.92371705
1990-09-01,11272.0959100587
1990-10-01,9364.92535432198
1990-11-01,9445.09220513608
1990-12-01,8227.87576504539
1991-01-01,8856.77261100771
1991-02-01,8236.59973990733
1991-03-01,10040.0046811504
1991-04-01,9238.45232047333
1991-05-01,10306.766472806601
1991-06-01,8363.424378010859
1991-07-01,9597.606989144251
1991-08-01,8543.67012087511
1991-09-01,8371.61214135654
1991-10-01,9399.13865339699
1991-11-01,7699.685684404929
1991-12-01,8217.32695750502
1992-01-01,8233.08332462666
1992-02-01,9860.099816700771
1992-03-01,7358.68231825391
1992-04-01,8811.7464556962
1992-05-01,7397.41763781587
1992-06-01,8631.13817180496
1992-07-01,7742.01017098725
1992-08-01,7659.50071768717
1992-09-01,7603.4188964676905
1992-10-01,7716.87162360708
1992-11-01,7515.46591167073
1992-12-01,9609.41604573034
1993-01-01,7998.873188817221
1993-02-01,6684.879008239829
1993-03-01,7988.2379078042795
1993-04-01,7067.342691967099
1993-05-01,6606.04247664354
1993-06-01,7524.70245429708
1993-07-01,6548.8672829573
1993-08-01,6727.14983001533
1993-09-01,6994.526886521271
1993-10-01,6499.80676616856
1993-11-01,7011.23896987036
1993-12-01,7694.68952810211
1994-01-01,7156.0332052269405
1994-02-01,7979.12938210484
1994-03-01,8541.853075673649
1994-04-01,7368.715442613059
1994-05-01,7897.0617599212
1994-06-01,10478.2602806901
1994-07-01,6168.28466946688
1994-08-01,8430.80672194339
1994-09-01,8344.04260845426
1994-10-01,7810.1550177988
1994-11-01,8409.842527475621
1994-12-01,6958.529261520239
1995-01-01,5843.68774061176
1995-02-01,7973.20678145266
1995-03-01,5856.62064666125
1995-04-01,6404.65342172193
1995-05-01,7298.142253703009
1995-06-01,6531.272094246011
1995-07-01,6769.32227758984
1995-08-01,8823.6211276426
1995-09-01,6783.694879968721
1995-10-01,7141.792130401759
1995-11-01,7892.237600363259
1995-12-01,7898.27350953612
1996-01-01,7895.61033266287
1996-02-01,7199.761274427671
1996-03-01,7737.517781271129
1996-04-01,8151.783550804921
1996-05-01,7684.531844428299
1996-06-01,6898.160694343979
1996-07-01,7782.412032238241
1996-08-01,7536.725217471329
1996-09-01,7523.810976481801
1996-10-01,9695.04897410792
1996-11-01,7305.460761620071
1996-12-01,6401.26631337307
1997-01-01,7455.121250794009
1997-02-01,9772.683645778929
1997-03-01,8017.93433495516
1997-04-01,8727.739551005909
1997-05-01,8657.80534646521
1997-06-01,8091.096095305459
1997-07-01,9244.11463520042
1997-08-01,8974.51867830052
1997-09-01,9866.34067579572
1997-10-01,11894.914328466599
1997-11-01,8793.657878713871
1997-12-01,9581.51667221317
1998-01-01,7767.1579093421915
1998-02-01,9220.19633379227
1998-03-01,9634.23596001523
1998-04-01,10321.8312008892
1998-05-01,9498.81873227869
1998-06-01,11196.3594300201
1998-07-01,10283.2590406049
1998-08-01,10917.749096203801
1998-09-01,11102.112473997
1998-10-01,11223.223813075501
1998-11-01,10838.9869508355
1998-12-01,10532.7218526943
1999-01-01,11041.4940002587
1999-02-01,10401.9684402568
1999-03-01,10921.1645970406
1999-04-01,10180.4276883321
1999-05-01,11118.2913306126
1999-06-01,11942.5680143796
1999-07-01,12126.7517796745
1999-08-01,10781.9137019918
1999-09-01,10989.2206029507
1999-10-01,10951.5342031214
1999-11-01,11010.3390884622
1999-12-01,11603.5229828354
2000-01-01,11950.6372589115
2000-02-01,11930.95844955
2000-03-01,12068.8476740146
2000-04-01,10757.413306697901
2000-05-01,11245.7305981592
2000-06-01,14511.7550850541
2000-07-01,10825.4478382051
2000-08-01,12131.1560245472
2000-09-01,11281.9166985089
2000-10-01,11609.206204431499
2000-11-01,12688.195950289599
2000-12-01,12713.413461963999
2001-01-01,15950.1681855222
2001-02-01,10629.8016224958
2001-03-01,11935.723927109499
2001-04-01,12151.463181071102
2001-05-01,12092.384606422
2001-06-01,11909.569762360401
2001-07-01,10295.855097548101
2001-08-01,12794.9244487092
2001-09-01,9316.983300131891
2001-10-01,12000.9153440273
2001-11-01,11491.1020931154
2001-12-01,11770.9049971285
2002-01-01,11801.0590833349
2002-02-01,12766.4553570742
2002-03-01,11624.6178245886
2002-04-01,12555.8084252341
2002-05-01,11998.6818737098
2002-06-01,11517.4321635385
2002-07-01,13595.7006318921
2002-08-01,12956.848476333702
2002-09-01,13488.116102293401
2002-10-01,18175.725831383897
2002-11-01,14180.112076668602
2002-12-01,12671.7574196174
2003-01-01,15200.628697643799
2003-02-01,17876.784290358897
2003-03-01,14194.2196349733
2003-04-01,14982.8200998237
2003-05-01,15929.0277174638
2003-06-01,13998.3086826701
2003-07-01,15875.6758796199
2003-08-01,14106.4334794549
2003-09-01,15401.6156892308
2003-10-01,20585.5253244654
2003-11-01,15038.0181181172
2003-12-01,15648.023178188601
2004-01-01,16135.8193757724
2004-02-01,16223.0774072472
2004-03-01,17173.7830943214
2004-04-01,16985.6033330481
2004-05-01,16074.646046824499
2004-06-01,17136.1430371217
2004-07-01,16780.7218686129
2004-08-01,17605.2462729034
2004-09-01,17834.939812447
2004-10-01,17496.5853084593
2004-11-01,19849.0601736634
2004-12-01,19135.150440308702
2005-01-01,16491.3348508715
2005-02-01,16082.852627063201
2005-03-01,16217.4852414708
2005-04-01,16776.0318879675
2005-05-01,15589.8342815078
2005-06-01,16909.7834480157
2005-07-01,17139.813308776498
2005-08-01,16862.8631381384
2005-09-01,20694.7228575589
2005-10-01,15037.0916313117
2005-11-01,15969.5664074524
2005-12-01,13589.624514629399
2006-01-01,14105.7228350805
2006-02-01,18476.5317738634
2006-03-01,13863.6136436653
2006-04-01,13493.5039517971
2006-05-01,13840.9443448116
2006-06-01,13687.7913069301
2006-07-01,10680.5456416306
2006-08-01,11494.997099594299
2006-09-01,12272.3201754857
2006-10-01,10553.9792449013
2006-11-01,10795.2372083478
2006-12-01,10666.2440991649
2007-01-01,11708.1978167585
2007-02-01,9735.32191639654
2007-03-01,11609.722354648999
2007-04-01,9472.2685678175
2007-05-01,9482.10058822222
2007-06-01,7504.80417504773
2007-07-01,8579.665158264292
2007-08-01,10333.9287669265
2007-09-01,6994.39069200763
2007-10-01,8002.65512936592
2007-11-01,6355.76800365342
2007-12-01,6293.951360745289
2008-01-01,6201.59525845158
2008-02-01,7028.92844571996
2008-03-01,4068.36833316142
2008-04-01,5897.09679956969
2008-05-01,6299.87614258551
2008-06-01,5384.13908110672
2008-07-01,4811.25739780413
2008-08-01,3587.7938176664
2008-09-01,4654.92246801674
2008-10-01,4070.42376004117
2008-11-01,4918.39372644016
2008-12-01,3782.4508649116497
2009-01-01,2516.97172396227
2009-02-01,2671.8252038465603
2009-03-01,2652.5407941459302
2009-04-01,2854.6005765467303
2009-05-01,2440.21634147256
2009-06-01,2707.60899757481
2009-07-01,2848.87682344915
2009-08-01,2684.47014102031
2009-09-01,2928.32688737484
2009-10-01,3062.98815570546
2009-11-01,2838.6750359925604
2009-12-01,3015.8960246842303
2010-01-01,3859.2672149539503
2010-02-01,3943.0821981971794
2010-03-01,3257.43761591636
2010-04-01,3169.01060761903
2010-05-01,2743.64787921725
2010-06-01,3545.7425547554203
2010-07-01,3450.65540699224
2010-08-01,3563.11527967728
2010-09-01,3125.09812681561
2010-10-01,3384.6455084314803
2010-11-01,3375.0971743430396
2010-12-01,5752.442131502779
2011-01-01,3246.00531239073
2011-02-01,2559.7655807205897
2011-03-01,4035.0673129846705
2011-04-01,3602.9145156952504
2011-05-01,4183.55822579519
2011-06-01,4115.81927324119
2011-07-01,2305.9536983964103
2011-08-01,4155.20461565836
2011-09-01,3780.27530812954
2011-10-01,3488.47807155838
2011-11-01,4878.2506925026
2011-12-01,4561.5888663023
2012-01-01,2771.4286753976503
2012-02-01,3767.4813789344103
2012-03-01,5718.36909593005
2012-04-01,3142.6311907041304
2012-05-01,5118.44180227576
2012-06-01,4983.7572812525605
2012-07-01,5003.499595058211
2012-08-01,5173.97351030307
2012-09-01,5973.79368783203
2012-10-01,5289.21006728279
2012-11-01,4424.06202448027
2012-12-01,5454.266416921289
2013-01-01,6473.10959224938
2013-02-01,7191.23849257524
2013-03-01,4556.0135508474705
2013-04-01,7078.151709813141
2013-05-01,6766.83573657764
2013-06-01,5367.30680834505
2013-07-01,7069.7814641736495
2013-08-01,6905.77851414797
2013-09-01,4303.56972470935
2013-10-01,6942.52654517399
2013-11-01,6976.11436304157
2013-12-01,7976.5770929489
2014-01-01,5342.16768095536
2014-02-01,6704.385287382281
2014-03-01,6594.70246497681
2014-04-01,7910.299359016659
2014-05-01,5827.6676664796
2014-06-01,6187.141019832769
2014-07-01,7008.46589545996
2014-08-01,6006.30332993303
2014-09-01,6788.153367085601
2014-10-01,9600.415114366491
2014-11-01,7881.911316031179
2014-12-01,6691.03802842339
2015-01-01,8992.45258332432
2015-02-01,8054.64769240833
2015-03-01,8827.38074417168
2015-04-01,7785.0195628608
2015-05-01,7161.49143750568
2015-06-01,9638.59112724724
2015-07-01,8518.93287973585
2015-08-01,7338.04009685702
2015-09-01,8638.26443065782
2015-10-01,6241.15960403522
2015-11-01,9125.35215243289
2015-12-01,7301.014259380509
2016-01-01,8201.00678749773
2016-02-01,10148.0555537467
2016-03-01,7250.988089777829
2016-04-01,7416.52528426948
2016-05-01,9478.32235135527
2016-06-01,7386.126596416329
2016-07-01,6243.62787884824
2016-08-01,9699.00262096568
2016-09-01,9012.94001131619
2016-10-01,8449.79037394429
2016-11-01,8413.811633658399
2016-12-01,9199.52972609075
2017-01-01,6114.82994527078
2017-02-01,7697.512956485821
2017-03-01,9640.76237352255
2017-04-01,9303.423399078969
2017-05-01,8775.91704633979
2017-06-01,11682.5719966052
2017-07-01,8345.0394928977
2017-08-01,10032.535395369201
2017-09-01,9459.76943230644
2017-10-01,10470.0117300492
2017-11-01,9175.0570548244
2017-12-01,9723.76145758713
2018-01-01,9549.954292883109
2018-02-01,10164.9104548246
2018-03-01,10985.9487782581
2018-04-01,9951.25192481243
2018-05-01,11113.1822274627
2018-06-01,10851.4755254884
2018-07-01,9948.84712857249
2018-08-01,9077.17243067535
2018-09-01,7793.07116162141
2018-10-01,8717.971969060229
